"doc_id","text","year","university","uni_code","region","uni_type","public","tier","proj985","proj211","2first","super","prov","city","key_uni"
"1439_02","(二)严格意识形态阵地管理认真落实意识形态工作责任制,坚持“第一议题”制度,传达学习习近平总书记重要讲话精神,组织开展6次校党委理论学习中心组专题学习和4次二级理论学习中心组学习。完善思政育人体系,上好“开学第一课”,注重开拓思政“大课堂”,组织师生参加烈士纪念日活动、公安英模报告会、座谈会等,重温公安英烈事迹、感悟公安英烈精神。构建“一季度一研判”机制,每季度召开意识形态与安全稳定形势分析研判会,组织专人开展每日读网审校,组织各类宣传平台排查和意识形态专项巡察,召开2次意识形态专题培训会,按规定报审论坛、讲座、报告会等活动发言人员,未发生意识形态领域问题和重大负面舆情。(三)加大信息公开制度执行力度学校认真贯彻《中华人民共和国政府信息公开条例》《高等学校信息公开办法》《广西壮族自治区教育厅政府信息公开暂行管理办法》等文件要求,正确处理好保守警务工作秘密与依法公开学校信息的关系,落实学校出台的《广西警察学院新媒体中心管理制度》《广西警察学院对外宣传管理办法》《广西警察学院校园网新闻发布管理办法》《广西警察学院二级单位网站、新媒体平台信息发布三级审核实施办法》等制度,出台《涉警涉校舆情防范专项工作方案》,严格执行信息审核责任制,既加大信息公开力度,又防止警务秘密泄露。",2023,"Guangxi Police College","GXPolice","Southern","public",1,2,0,0,0,"Autonomous","Guangxi","Nanning",0
"702_04","（五）资产采购信息公开情况国有资产管理处对学校的吉林省财政专项、中央财政专项以及自筹资金的政府采购项目，涉及仪器设备、图书、药品等物资设备采购和重大基建工程的招投标信息主动向校内和社会进行信息公开，经吉林建筑大学校园网公示通知栏信息公开公示24项。（六）人事信息公开情况人事处在实际工作当中不断坚持公开校内职工关心关切事宜，利用学校官网通知公告、人才招聘及人事处最新动态、公示栏使公开信息及时有效发布，本年度人事处通过以上途径发布公开信息25条，包括职称评聘、人员招聘、人才政策、工伤保险等事宜。-4-（七）教务处信息公开情况2024主动公开信息73条；其中，通过校园网公布各类信息65条，通过微信平台主动公开信息8条。其中，关于教学运行、专业建设、学业等相关内容51条，教学运行包括课表、教学进程计划，重新学习缴费；学生学业情况包括学业预警结果。（八）学生工作处信息公开情况学生工作处通过网站主页发布学校通知公告、学工动态、学院快讯等重大信息。",2024,"Jilin Jianzhu University","JLUArch","Northeastern","public",1,2,0,0,0,"Province","Jilin","Changchun",0
"1593_01","本报告是学习贯彻《高等学校信息公开办法》《教育部关于<高等学校信息公开事项清单>的通知》等文件精神，按照四川省教育厅《关于做好2024年高校信息公开年度报告的工作提示》要求，结合西华大学2022—2023学年信息公开工作开展情况编制完成。报告内容包括信息公开工作概述、主动公开信息情况、依申请公开和不予公开情况、信息公开工作存在的问题及改进措施、因信息公开工作受到的举报情况以及其他需要报告的事项六个部分。报告中所列数据统计期限为2023年9月1日至2024年8月31日。一、信息公开工作概述2023—2024学年，学校坚持以习近平新时代中国特色社会主义思想为指导，全面贯彻党的二十大精神，深刻领悟“两个确立”的决定性意义，增强“四个意识”、坚定“四个自信”、做到“两个维护”，按照党中央、国务院关于政务公开工作的决策部署，认真贯彻落实教育部和省教育厅信息公开工作各项指示，始终坚持“以公开为常态，不公开为例外”的原则，将信息公开作为推进学校治理体系和治理能力建设的重要抓手，强化组织领导，强化制度规范，强化平台建设，积极为师生群众办实事解难题，加大主动公开力度，及时回应社会关切，依法依规答复信息公开申请，不断提高办学治校透明度，信息公开工作取得积极成效。",2024,"Xihua University","XHU","Southwestern","public",1,2,0,0,0,"Province","Sichuan","Chengdu",0
"1578_12","学校领导、各学院的教授、副教授分别前往10个省（市）54所中学开展科普讲座30余场；组织约3000余名在校生组成1351支队伍寒假回高中母校开展招生宣传；2024年新建优质生源基地54所，主动邀请树德中学、宜宾长宁县中学等10余所优质生源基地中学师生进校研学;在四川派出工作人员分别参加成都、绵阳等9个地市级招生咨询；各学院180余名教师前往26个省（市）进行现场志愿填报咨询服务。学校分别通过四川省教育考试院、成都商报、四川省科教频道、昭信教育系列、360教育在线、高考宝等媒体平台进行视频直播为考生及家长解读学校各项招生政策。其中，通过360教育在线网上直播平台，由丁荣军院士领衔、各学院主要负责人进行了学院和专业介绍直播，历时近一个月，累计收看近200万。另外，通过教育部阳光高考平台、中国教育在线、360高招分答、招办邮箱进行招生政策咨询和答疑。除此之外，学校首次开通腾讯企业QQ号，通过QQ线上平台建立了各省（市、区）和各学院的招生咨询群，为有强烈报考我校志愿的考生提供指导。",2024,"Southwest Jiaotong University","SWJiaotong","Southwestern","public",1,1,0,1,1,"Ministry of Education","Sichuan","Chengdu",1
"976_04","(三)招生、财务信息方面公开情况说明1.招生信息方面。按北京市教委及考试院的要求，学院制定了首钢工学院2022年招生章程，经市教委和考试院审查合格后在教育部阳光高考平台和首钢工学院招生网上公布。招生章程包括：招生计划、收费标准、录取规则及招生举报电话等。统一招生中的按省市录取结果及录取通知书EMS快递单号在学校招生信息网上及时公布（网址为http://zb.sgit.edu.cn/Recruitment/）。学院高职自主招生及考试执行北京市教育委员会高等职业教育自主招生工作有关文件精神，其时间安排、综合积分方案、公示、录取结果也在学校网站和学校招生网上及时公布，接受社会的监督和检查。学年内没有发生招生违规事件。",2022,"Shougang Institute of Technology","ShougangTechInst","Northern","public",1,2,0,0,0,"Municipal","Beijing","Beijing",0
"1644_07","包括四川电影电视学院专业技术职称相关资料，国家、地方关于专业技术职称方面的有关文件及《中华人民共和国教师法》等人事师资信息。6.教学质量信息公开。包括四川电影电视学院本科专业设置一览表、新专业申报报表、四川电影电视学院促进毕业生就业政策措施和指导服务综述等重要信息公开。在学校网站发布了学校基本情况、师资队伍、教学条件、专业建设和教学改革、科研成果等信息；在学校网站“教学成果”一栏公布教学改革成果；在就业信息网公布了促进毕业生就业的政策措施和指导服务、创新创业、招聘双选会、就业流向等信息。7.学生管理服务信息公开。包括学生生源地贷款申办流程、大学生城居医保宣传资料、学校学分制学籍管理实施细则、学校学生奖学金评定办法（试行）、学校学生纪律处分—6—办法（试行）、学校国家奖助学金评审管理办法（试行）等服务信息公开。",2024,"Sichuan Film and Television University","SCFilm","Southwestern","private",0,2,0,0,0,"Province Education","Sichuan","Chengdu",0
"1433_03","三、信息公开清单落实情况1.基本信息(1)通过学校官网主页进行基本信息公开,分别介绍学校概况、组织机构、师资队伍、教务教学等情况。(2)《广西财经学院章程(2023年核准稿)》于2023年7月14日经教育厅核准后颁布实施。(3)我校于2023年6月6日召开广西财经学院第六届教职工代表大会第三次会议。大会听取了《深入学习贯彻党的二十大精神加快提升办学能力为早日实现更名大学目标而团结奋斗》的学校工作报告和《广西财经学院2022年预算执行和2023年预算安排情况报告》。(4)我校设有学术委员会,并制定颁布了《广西财经学院学术委员会章程》(桂财院发〔2020〕76号)、《广西财经学院学术委员会议事规程》(桂财院发〔2019〕190号)、《广西财经学院学术活动管理办法(2019年修订)》(桂财院党发〔2019〕43号)》等多项制度。2.招生考试信息(5)我校在全国阳光高考信息平台、学校招生信息网、招生微信公众号、广西区招生考试院印制的出版物《2023年高考指南招生计划篇》及各省市考试院官方出版的当年高考计划和报考指南,公开本年度的招生章程和分批次、分科类招生计划,坚持做到招生工作全程公开。",2023,"Guangxi University of Finance and Economics","GXUFE","Southern","public",1,2,0,0,0,"Autonomous","Guangxi","Nanning",0
"348_17","四、依申请公开情况和不予公开情况2023-2024学年，学校未接到信息公开申请，未发生有关信息公开的收费和费用减免等情况。五、对信息公开的评议情况学校通过书记、校长信箱，依申请公开信箱，校园网“诉求与建议平台”、校领导接待日等形式，收集全校师生及社会公众对相关信息的诉求以及对学校信息公开工作的意见建议。近年来，学校高度重视信息公开工作，整体运行状况良好，各单位的信息公开工作执行情况良好，未出现失误、泄密等情况。学校坚持不断拓展信息公开途径，不断提高信息公开工作的准确性、及时性，保障学校师生员工和公众对学校的知情权，进一步增进了社会公众、师生与学校的互动与沟通，得到了广大师生和社会各界的一致好评。六、因学校信息公开工作受到举报、复议、诉讼的情况本学年未发生因学校信息公开工作受到举报、复议、诉讼的情况。没有因信息公开而出现侵犯公民权益的行为。",2024,"Nanjing University of Finance and Economics","NJFin","Eastern","public",1,1,0,0,0,"Province","Jiangsu","Nanjing",0
"1066_04","2.关系教职工、学生利益和公众关注的重要事项（1）认真落实教育部《关于进一步推进高校招生信息公-4-开工作的通知》，开通了学校招生信息网（http://bkzs.sxtcm.edu.cn/），切实做到高校招生信息“十公开”。主要有学校各学历层次和各类学生招生政策、招生资格及有关考生资格、招生计划、录取信息等学校招生信息。（2）认真落实教育部《关于做好高等学校财务信息公开工作的通知》，开通了财务公开网（http://jcc.sxtcm.edu.cn/）先后出台公布累计26项财务规章制度，规范了工作职责及工作流程，切实做到财务、资产及收费信息公开。（3）其他方面的信息有：学生评奖评优、学费收缴、减免、贷款、勤工助学的政策、办法、结果，以及毕业生就业服务等信息；人才招聘、职称评审办法和结果等有关人事工作信息；学校科研项目申报、科研奖励制度和科研项目结果等科研管理信息；工程有关资金使用制度、评标纪律、招投标管理办法等信息；财务规章制度、年度财务收支情况等财务信息。",2022,"Shanxi University of Traditional Chinese Medicine","ShanxiTCM","Northern","public",1,2,0,0,0,"Province","Shanxi","Taiyuan",0
"389_06","在财务信息门户设置了部门、项目经费查询系统，对-5-预算执行情况进行公开。通过信息公开、民主监督，提高了预算工作透明度，加强了预算执行的控制和经费使用监督。三是部门预决算公开，年度部门预决算报告通过计划财务处网站主动向社会公开，通过教代会财务报告、学校年鉴等途径，对财务决算情况和财务预算方案做进一步公开，充分保障了教职工知情权、参与权和监督权。四是部分校内财务规章制度在校园网公开，教育收费项目及标准向全校公开，办事流程在全校公开。2.“三公”经费信息。学校严格执行《进一步规范和完善“三公”活动及经费管理的暂行办法》《干部因私出国（境）管理暂行规定》《关于严格贯彻落实公务用车有关管理规定的通知》等文件的有关规定，进一步明确接待标准，规范公务接待审批程序。",2023,"Nanchang Hangkong University","NCAero","Eastern","public",1,1,0,0,0,"Province","Jiangxi","Nanchang",0
